title,paragraph,gold_label
A Room with a View,"“I have been a failure,” said Miss Bartlett, as she struggled with the straps of Lucy’s trunk instead of strapping her own. “Failed to make you happy; failed in my duty to your mother. She has been so generous to me; I shall never face her again after this disaster.”",high
A Room with a View,"Lucy paused. “Cecil said one day—and I thought it so profound—that there are two kinds of cads—the conscious and the subconscious.” She paused again, to be sure of doing justice to Cecil’s profundity. Through the window she saw Cecil himself, turning over the pages of a novel. It was a new one from Smith’s library. Her mother must have returned from the station.",low
A Room with a View,"Miss Bartlett, who was poor at figures, became bewildered and rendered up the sovereign, amidst the suppressed gurgles of the other youths. For a moment Cecil was happy. He was playing at nonsense among his peers. Then he glanced at Lucy, in whose face petty anxieties had marred the smiles. In January he would rescue his Leonardo from this stupefying twaddle.",high
A Room with a View,"An engagement is so potent a thing that sooner or later it reduces all who speak of it to this state of cheerful awe. Away from it, in the solitude of their rooms, Mr. Beebe, and even Freddy, might again be critical. But in its presence and in the presence of each other they were sincerely hilarious. It has a strange power, for it compels not only the lips, but the very heart. The chief parallel to compare one great thing with another—is the power over us of a temple of some alien creed. Standing outside, we deride or oppose it, or at the most feel sentimental. Inside, though the saints and gods are not ours, we become true believers, in case any true believer should be present.",low
A Room with a View,"“In the course of conversation they said that they wanted a country cottage—the father to live there, the son to run down for week-ends. I thought, ‘What a chance of scoring off Sir Harry!’ and I took their address and a London reference, found they weren’t actual blackguards—it was great sport—and wrote to him, making out—”",low
A Room with a View,"Miss Bartlett only sighed, and enveloped her in a protecting embrace as she wished her good-night. It gave Lucy the sensation of a fog, and when she reached her own room she opened the window and breathed the clean night air, thinking of the kind old man who had enabled her to see the lights dancing in the Arno and the cypresses of San Miniato, and the foot-hills of the Apennines, black against the rising moon.",high
A Room with a View,"“The point is, we have warred with it. Look.” He pointed to the Val d’Arno, which was visible far below them, through the budding trees. “Fifty miles of Spring, and we’ve come up to admire them. Do you suppose there’s any difference between Spring in nature and Spring in man? But there we go, praising the one and condemning the other as improper, ashamed that the same laws work eternally through both.”",none
A Room with a View,"The young man named George glanced at the clever lady, and then returned moodily to his plate. Obviously he and his father did not do. Lucy, in the midst of her success, found time to wish they did. It gave her no extra pleasure that any one should be left in the cold; and when she rose to go, she turned back and gave the two outsiders a nervous little bow.",low
A Room with a View,"“But my feelings are of no importance. I know too well that I get on Lucy’s nerves. Our tour was a failure. She wanted to leave Florence, and when we got to Rome she did not want to be in Rome, and all the time I felt that I was spending her mother’s money—.”",high
A Room with a View,"“Indeed you may!” he cried. “Here we are with the difficulty solved already. How delightful it is! Extra facilities—please tell them they shall have extra facilities, for I shall have no agents’ fees. Oh, the agents! The appalling people they have sent me! One woman, when I wrote—a tactful letter, you know—asking her to explain her social position to me, replied that she would pay the rent in advance. As if one cares about that! And several references I took up were most unsatisfactory—people swindlers, or not respectable. And oh, the deceit! I have seen a good deal of the seamy side this last week. The deceit of the most promising people. My dear Lucy, the deceit!”",low
A Room with a View,"During this speech the two figures on the box were sporting with each other disgracefully. Lucy had a spasm of envy. Granted that they wished to misbehave, it was pleasant for them to be able to do so. They were probably the only people enjoying the expedition. The carriage swept with agonizing jolts up through the Piazza of Fiesole and into the Settignano road.",high
A Room with a View,"Neither George nor Freddy was truly refined. Still, they did not hear Mr. Beebe’s last warning or they would have avoided Mrs. Honeychurch, Cecil, and Lucy, who were walking down to call on old Mrs. Butterworth. Freddy dropped the waistcoat at their feet, and dashed into some bracken. George whooped in their faces, turned and scudded away down the path to the pond, still clad in Mr. Beebe’s hat.",none
A Room with a View,"He returned, and she talked of the murder. Oddly enough, it was an easy topic. She spoke of the Italian character; she became almost garrulous over the incident that had made her faint five minutes before. Being strong physically, she soon overcame the horror of blood. She rose without his assistance, and though wings seemed to flutter inside her, she walked firmly enough towards the Arno. There a cabman signalled to them; they refused him.",none
A Room with a View,"“But we fear him for you, dear. You are so young and inexperienced, you have lived among such nice people, that you cannot realize what men can be—how they can take a brutal pleasure in insulting a woman whom her sex does not protect and rally round. This afternoon, for example, if I had not arrived, what would have happened?”",low
A Room with a View,"Miss Bartlett was unconvinced by the safety of Contessa Baroncelli’s daughters. She was determined to take Lucy herself, her head not being so very bad. The clever lady then said that she was going to spend a long morning in Santa Croce, and if Lucy would come too, she would be delighted.",low
